ts,phase,level,confirm,ack_s,attempts,n,bh_mean,bh_sd,bh_min,bh_max,c0_mean,c0_sd,c0_min,c0_max,c1_mean,c1_sd,c1_min,c1_max,sat,z2m_brightness
1789598247.532,up,1,z2m,0.38,1,10,2133.5,2.87,2126,2136,797.6,0.66,797,799,158.2,0.40,158,159,,1
1789598250.544,up,2,z2m,0.39,1,10,3191.1,3.08,3182,3193,1205.6,0.66,1204,1206,243.0,0.00,243,243,,2
1789598253.555,up,13,z2m,0.39,1,10,9826.8,16.88,9794,9843,3728.9,3.39,3722,3734,754.5,0.81,753,756,,13
1789598256.547,up,128,z2m,0.38,1,10,46357.6,87.84,46246,46524,16342.2,9.09,16326,16357,3567.7,10.03,3553,3586,,128
1789598259.539,up,254,z2m,0.39,1,10,49882.2,56.34,49793,49986,18688.8,12.42,18663,18704,3681.1,2.77,3676,3685,,254
