ts,phase,level,confirm,ack_s,attempts,n,bh_mean,bh_sd,bh_min,bh_max,c0_mean,c0_sd,c0_min,c0_max,c1_mean,c1_sd,c1_min,c1_max,sat,z2m_brightness
1789594191.640,up,1,z2m,0.36,1,50,10613.3,6.81,10601,10630,1307.5,1.35,1305,1310,277.1,0.32,277,278,,1
1789594204.579,up,2,z2m,0.36,1,50,11648.6,2564.23,47,12302,1402.1,354.80,9,1502,294.4,74.39,2,315,,2
1789594218.239,up,3,none,,3,50,24.0,0.00,24,24,6.0,0.14,5,6,1.0,0.00,1,1,,
1789594231.920,up,5,none,,3,50,24.0,0.00,24,24,6.0,0.14,5,6,1.0,0.00,1,1,,
1789594245.660,up,8,none,,3,50,24.0,0.00,24,24,6.0,0.20,5,6,1.0,0.00,1,1,,
