# device,moes_bench,seconds,20.0,from,254,to,off,t_pub,1789598201.934,t_readback,1789598202.305,readback_level,242,sensors,BH1750 hres MTreg=31 (~54 ms)  TSL2591 id=0x50 gain=1x atime=100 ms
t_rel_pub,bh,c0,c1
-2.000,50319,18830,3719
-1.988,50319,18810,3716
-1.976,50235,18810,3716
-1.964,50235,18810,3716
-1.952,50235,18810,3716
-1.940,50235,18810,3716
-1.928,50235,18810,3716
-1.916,50178,18810,3716
-1.904,50178,18810,3716
-1.892,50178,18827,3719
-1.880,50178,18827,3719
-1.868,50178,18827,3719
-1.856,50242,18827,3719
-1.843,50242,18827,3719
-1.831,50242,18827,3719
-1.819,50242,18827,3719
-1.807,50296,18827,3719
-1.795,50296,18827,3719
-1.783,50296,18807,3715
-1.771,50296,18807,3715
-1.759,50296,18807,3715
-1.747,50197,18807,3715
-1.735,50197,18807,3715
-1.723,50197,18807,3715
-1.711,50197,18807,3715
-1.699,50197,18807,3715
-1.687,50146,18822,3718
-1.675,50146,18822,3718
-1.663,50146,18822,3718
-1.651,50146,18822,3718
-1.639,50242,18822,3718
-1.627,50242,18822,3718
-1.614,50242,18822,3718
-1.602,50242,18822,3718
-1.590,50242,18822,3718
-1.578,50265,18793,3712
-1.566,50265,18793,3712
-1.554,50265,18793,3712
-1.542,50265,18793,3712
-1.530,50265,18793,3712
-1.518,50114,18793,3712
-1.506,50114,18793,3712
-1.494,50114,18793,3712
-1.482,50114,18793,3712
-1.470,50139,18806,3715
-1.458,50139,18806,3715
-1.446,50139,18806,3715
-1.434,50139,18806,3715
-1.422,50139,18806,3715
-1.410,50214,18806,3715
-1.397,50214,18806,3715
-1.385,50214,18806,3715
-1.373,50214,18778,3709
-1.361,50214,18778,3709
-1.349,50169,18778,3709
-1.337,50169,18778,3709
-1.325,50169,18778,3709
-1.313,50169,18778,3709
-1.301,50076,18778,3709
-1.289,50076,18778,3709
-1.277,50076,18778,3709
-1.265,50076,18792,3712
-1.253,50076,18792,3712
-1.241,50186,18792,3712
-1.229,50186,18792,3712
-1.217,50186,18792,3712
-1.205,50186,18792,3712
-1.193,50172,18792,3712
-1.180,50172,18792,3712
-1.168,50172,18792,3712
-1.156,50172,18760,3705
-1.144,50172,18760,3705
-1.132,50085,18760,3705
-1.120,50085,18760,3705
-1.108,50085,18760,3705
-1.096,50085,18760,3705
-1.084,50085,18760,3705
-1.072,50133,18760,3705
-1.060,50133,18777,3708
-1.048,50133,18777,3708
-1.036,50133,18777,3708
-1.024,50205,18777,3708
-1.012,50205,18777,3708
-1.000,50205,18777,3708
-0.988,50205,18777,3708
-0.976,50205,18777,3708
-0.963,50081,18777,3708
-0.951,50081,18750,3702
-0.939,50081,18750,3702
-0.927,50081,18750,3702
-0.915,50112,18750,3702
-0.903,50112,18750,3702
-0.891,50112,18750,3702
-0.879,50112,18750,3702
-0.867,50112,18750,3702
-0.855,50185,18750,3702
-0.843,50185,18768,3706
-0.831,50185,18768,3706
-0.819,50185,18768,3706
-0.807,50185,18768,3706
-0.795,50054,18768,3706
-0.783,50054,18768,3706
-0.771,50054,18768,3706
-0.759,50054,18768,3706
-0.746,50114,18744,3701
-0.734,50114,18744,3701
-0.722,50114,18744,3701
-0.710,50114,18744,3701
-0.698,50114,18744,3701
-0.686,50137,18744,3701
-0.674,50137,18744,3701
-0.662,50137,18744,3701
-0.650,50137,18744,3701
-0.638,50137,18767,3706
-0.626,50009,18767,3706
-0.614,50009,18767,3706
-0.602,50009,18767,3706
-0.590,50009,18767,3706
-0.578,50046,18767,3706
-0.566,50046,18767,3706
-0.554,50046,18767,3706
-0.542,50046,18767,3706
-0.529,50046,18741,3701
-0.517,50114,18741,3701
-0.505,50114,18741,3701
-0.493,50114,18741,3701
-0.481,50114,18741,3701
-0.469,50114,18741,3701
-0.457,50101,18741,3701
-0.445,50101,18741,3701
-0.433,50101,18765,3707
-0.421,50101,18765,3707
-0.409,50004,18765,3707
-0.397,50004,18765,3707
-0.385,50004,18765,3707
-0.373,50004,18765,3707
-0.361,50004,18765,3707
-0.349,50038,18765,3707
-0.337,50038,18765,3707
-0.325,50038,18739,3701
-0.312,50038,18739,3701
-0.300,50038,18739,3701
-0.288,50113,18739,3701
-0.276,50113,18739,3701
-0.264,50113,18739,3701
-0.252,50113,18739,3701
-0.240,50061,18739,3701
-0.228,50061,18739,3701
-0.216,50061,18764,3706
-0.204,50061,18764,3706
-0.192,50061,18764,3706
-0.180,49980,18764,3706
-0.168,49980,18764,3706
-0.156,49980,18764,3706
-0.144,49980,18764,3706
-0.132,50034,18764,3706
-0.120,50034,18736,3700
-0.108,50034,18736,3700
-0.095,50034,18736,3700
-0.083,50034,18736,3700
-0.071,50085,18736,3700
-0.059,50085,18736,3700
-0.047,50085,18736,3700
-0.035,50085,18736,3700
-0.023,50085,18736,3700
-0.011,50009,18758,3704
0.001,50009,18758,3704
0.013,50009,18758,3704
0.025,50009,18758,3704
0.037,49986,18758,3704
0.049,49986,18758,3704
0.061,49986,18758,3704
0.073,49986,18758,3704
0.085,49986,18719,3697
0.097,49986,18719,3697
0.109,49986,18719,3697
0.122,49986,18719,3697
0.134,49986,18719,3697
0.146,49986,18719,3697
0.158,49992,18719,3697
0.170,49992,18719,3697
0.182,49992,18719,3697
0.194,49992,18709,3695
0.206,49794,18709,3695
0.218,49794,18709,3695
0.230,49794,18709,3695
0.242,49794,18709,3695
0.254,49794,18709,3695
0.266,49815,18709,3695
0.278,49815,18709,3695
0.290,49815,18709,3695
0.302,49815,18650,3684
0.314,49815,18650,3684
0.326,49828,18650,3684
0.339,49828,18650,3684
0.351,49828,18650,3684
0.363,49828,18650,3684
0.375,49678,18650,3684
0.387,49678,18650,3684
0.399,49678,18643,3683
0.411,49678,18643,3683
0.423,49678,18643,3683
0.435,49666,18643,3683
0.447,49666,18643,3683
0.459,49666,18643,3683
0.471,49666,18643,3683
0.483,49677,18643,3683
0.495,49677,18643,3683
0.507,49677,18587,3672
0.519,49677,18587,3672
0.531,49677,18587,3672
0.543,49566,18587,3672
0.556,49566,18587,3672
0.568,49566,18587,3672
0.580,49566,18587,3672
0.592,49566,18587,3672
0.604,49451,18587,3672
0.616,49451,18580,3670
0.628,49451,18580,3670
0.640,49451,18580,3670
0.652,49474,18580,3670
0.664,49474,18580,3670
0.676,49474,18580,3670
0.688,49474,18580,3670
0.700,49474,18580,3670
0.712,49494,18524,3659
0.724,49494,18524,3659
0.736,49494,18524,3659
0.748,49494,18524,3659
0.761,49494,18524,3659
0.773,49345,18524,3659
0.785,49345,18524,3659
0.797,49345,18524,3659
0.809,49345,18524,3659
0.821,49295,18516,3657
0.833,49295,18516,3657
0.845,49295,18516,3657
0.857,49295,18516,3657
0.869,49295,18516,3657
0.881,49323,18516,3657
0.893,49323,18516,3657
0.905,49323,18516,3657
0.917,49323,18516,3657
0.929,49323,18454,3646
0.941,49193,18454,3646
0.953,49193,18454,3646
0.965,49193,18454,3646
0.978,49193,18454,3646
0.990,49147,18454,3646
1.002,49147,18454,3646
1.014,49147,18454,3646
1.026,49147,18442,3643
1.038,49147,18442,3643
1.050,49130,18442,3643
1.062,49130,18442,3643
1.074,49130,18442,3643
1.086,49130,18442,3643
1.098,49130,18442,3643
1.110,49130,18442,3643
1.122,49130,18442,3643
1.134,49130,18386,3632
1.146,49130,18386,3632
1.158,48988,18386,3632
1.170,48988,18386,3632
1.182,48988,18386,3632
1.195,48988,18386,3632
1.207,48988,18386,3632
1.219,48911,18386,3632
1.231,48911,18386,3632
1.243,48911,18372,3630
1.255,48911,18372,3630
1.267,48994,18372,3630
1.279,48994,18372,3630
1.291,48994,18372,3630
1.303,48994,18372,3630
1.315,48994,18372,3630
1.327,48889,18372,3630
1.339,48889,18321,3620
1.351,48889,18321,3620
1.363,48889,18321,3620
1.375,48889,18321,3620
1.387,48731,18321,3620
1.400,48731,18321,3620
1.412,48731,18321,3620
1.424,48731,18321,3620
1.436,48847,18321,3620
1.448,48847,18302,3616
1.460,48847,18302,3616
1.472,48847,18302,3616
