ts,phase,level,confirm,ack_s,attempts,n,bh_mean,bh_sd,bh_min,bh_max,c0_mean,c0_sd,c0_min,c0_max,c1_mean,c1_sd,c1_min,c1_max,sat,z2m_brightness
1789594170.825,up,1,z2m,0.37,1,10,3286.5,4.78,3273,3290,1307.2,1.40,1305,1309,276.9,0.30,276,277,,1
1789594173.796,up,2,z2m,0.36,1,10,3805.8,1.94,3802,3809,1497.8,1.89,1496,1501,314.3,0.46,314,315,,2
1789594176.768,up,3,z2m,0.37,1,10,4321.0,8.98,4307,4329,1690.8,2.09,1688,1694,351.7,0.46,351,352,,3
